Filename,ppg-mpu-hb24
Instrument name,5500-0556 (172.23.168.35)
Operator,yuran
rundate,5/26/2023
Sample name,PPG-MPU-HB24
proceduresegments,Ramp 10.00 °C/min to 600.00 °C
[File Parameters]
Run date,5/26/2023
Trios version,5.6.0.75
Original File Name,C:\Users\SMF_TGA\Documents\TGA5500 DATA\Bao\Yuran Shi TGA\PPG-MPU-HB24.tri
Current File Name,c:\users\smf_tga\documents\tga5500 data\bao\yuran shi tga\ppg-mpu-hb24.tri
User at run start,DESKTOP-E75AHEP\SMF_TGA
[Procedure]
Procedure Name,Ramp
Sample Name,PPG-MPU-HB24
Pan Number,22
Sample Mass,1.970 mg
Pan Type,Platinum (100 uL)
Comments,PPG-MPU with Tomi
Project Name,
Operator,yuran
Test,Ramp
Skip Weight Stabilization,True
Sample mass pre-weigh,Not Available
Stop on Gas Flow Error,No
[Signal List]
Signal #1,Time (min)
Signal #2,Temperature (°C)
Signal #3,Weight (mg)
Signal #4,Temperature Difference (°C)
Signal #5,Sample Purge (mL/min)
Signal #6,Balance Purge (mL/min)
Signal #7,Set Point Temperature (°C)
Signal #8,Power Delivered (W)
Signal #9,Ramp Rate (°C/min)
[Configuration]
Company Name,SMF
Instrument Name,5500-0556
Instrument Type,TGA5500
Serial Number,5500-0556
IP,172.23.168.35
Location of Instrument,Manufacturing Test
DisplayType,Unknown
Sample Interval ,0.1 s/pt
Gas 1,Nitrogen
Gas 2,Air
Selected Gas Channel,2
MTGA HiRes Licensed,Yes
[Versions]
Common IDD Version,1
Cortex Version,VER 2.1.2.72
Driver,5.0.0.6
GDM Version,1.2.1.2
TouchscreenVersion,1.0.3.1821
PCU Version,1.2.0.22
Transducer Version,1.1.0.32
[Experiment Logs]
Experiment Log Entry # 1,Ramp Segment 10 C/min to 600 C Started
[Method Log]
Method Log Entry # 1,(Ramp 27388) Ramp 10 °C/minute to 600 °C
[Weight Calibration]
Date Applied,5/23/2023 2:51:56 PM
Empty Pan Weight,0.000 mg
Low Reference Weight,100.000 mg
High Reference Weight,"1,000.000 mg"
Low Gain Meter Reading,1.0099E-005 mg/count
High Gain Meter Reading,8.0395E-005 mg/count
Low Meter Offset,51.6849 mg
High Meter Offset,640.4736 mg
[Curie Calibration]
Date Applied,5/23/2023 12:58:20 PM
Description,From 256.940 °C to 456.940 °C at 20.000°C/min
Gas Type,Nitrogen
Pan Type,Alumina (100 uL)
Source Files 1,C:\ProgramData\TA Instruments\TRIOS\Data\Nickel TEMP CAL.tri
Source Files 2,C:\ProgramData\TA Instruments\TRIOS\Data\Alumel TEMP CAL.tri
Measured 1,163.7472
Known 1,154.16
Measured 2,357.6078
Known 2,356.94
[step]
Ramp 10.00 °C/min to 600.00 °C
Time,Temperature,Weight,Weight
min,°C,mg,%
0.00,23.82,1.970,99.997
0.00,23.82,1.970,99.996
0.00,23.82,1.970,99.995
0.01,23.82,1.970,99.996
0.01,23.82,1.970,99.999
0.01,23.82,1.970,100.004
0.01,23.82,1.970,100.012
0.01,23.82,1.970,100.023
0.01,23.82,1.971,100.035
0.01,23.82,1.971,100.048
0.02,23.82,1.971,100.060
0.02,23.82,1.971,100.073
0.02,23.82,1.972,100.087
0.02,23.82,1.972,100.101
0.02,23.82,1.972,100.114
0.03,23.82,1.972,100.124
0.03,23.82,1.973,100.131
0.03,23.82,1.973,100.135
0.03,23.82,1.973,100.141
0.03,23.82,1.973,100.148
0.03,23.82,1.973,100.157
0.03,23.82,1.973,100.164
0.04,23.82,1.973,100.167
0.04,23.82,1.973,100.169
0.04,23.82,1.973,100.171
0.04,23.82,1.973,100.174
0.04,23.82,1.974,100.178
0.05,23.82,1.974,100.184
0.05,23.82,1.974,100.188
0.05,23.82,1.974,100.190
0.05,23.82,1.974,100.192
0.05,23.82,1.974,100.194
0.05,23.82,1.974,100.196
0.05,23.82,1.974,100.199
0.06,23.82,1.974,100.202
0.06,23.82,1.974,100.204
0.06,23.82,1.974,100.206
0.06,23.82,1.974,100.208
0.06,23.82,1.974,100.209
0.07,23.82,1.974,100.211
0.07,23.82,1.974,100.213
0.07,23.82,1.974,100.216
0.07,23.82,1.974,100.218
0.07,23.82,1.974,100.220
0.07,23.82,1.974,100.221
0.08,23.82,1.974,100.223
0.08,23.82,1.974,100.224
0.08,23.82,1.974,100.226
0.08,23.82,1.975,100.229
0.08,23.82,1.975,100.231
0.08,23.82,1.975,100.232
0.08,23.82,1.975,100.234
0.09,23.82,1.975,100.235
0.09,23.82,1.975,100.237
0.09,23.82,1.975,100.239
0.09,23.83,1.975,100.241
0.09,23.83,1.975,100.243
0.09,23.83,1.975,100.245
0.10,23.83,1.975,100.246
0.10,23.83,1.975,100.247
0.10,23.83,1.975,100.249
0.10,23.83,1.975,100.250
0.10,23.83,1.975,100.252
0.11,23.83,1.975,100.254
